areaCode,areaName,areaType,date,cumVaccinationSecondDoseUptakeByPublishDatePercentage
K02000001,United Kingdom,overview,2021-06-09,54.8
K02000001,United Kingdom,overview,2021-06-08,54.2
K02000001,United Kingdom,overview,2021-06-07,53.6
K02000001,United Kingdom,overview,2021-06-06,53.0
K02000001,United Kingdom,overview,2021-06-05,52.5
K02000001,United Kingdom,overview,2021-06-04,51.6
K02000001,United Kingdom,overview,2021-06-03,50.9
K02000001,United Kingdom,overview,2021-06-02,50.2
K02000001,United Kingdom,overview,2021-06-01,49.5
K02000001,United Kingdom,overview,2021-05-31,48.9
K02000001,United Kingdom,overview,2021-05-30,48.5
K02000001,United Kingdom,overview,2021-05-29,48.1
K02000001,United Kingdom,overview,2021-05-28,47.3
K02000001,United Kingdom,overview,2021-05-27,46.5
K02000001,United Kingdom,overview,2021-05-26,45.6
K02000001,United Kingdom,overview,2021-05-25,44.8
K02000001,United Kingdom,overview,2021-05-24,44.1
K02000001,United Kingdom,overview,2021-05-23,43.5
K02000001,United Kingdom,overview,2021-05-22,43.0
K02000001,United Kingdom,overview,2021-05-21,41.9
K02000001,United Kingdom,overview,2021-05-20,41.1
K02000001,United Kingdom,overview,2021-05-19,40.3
K02000001,United Kingdom,overview,2021-05-18,39.6
K02000001,United Kingdom,overview,2021-05-17,39.0
K02000001,United Kingdom,overview,2021-05-16,38.5
K02000001,United Kingdom,overview,2021-05-15,38.2
K02000001,United Kingdom,overview,2021-05-14,37.4
K02000001,United Kingdom,overview,2021-05-13,36.7
K02000001,United Kingdom,overview,2021-05-12,35.9
K02000001,United Kingdom,overview,2021-05-11,35.0
K02000001,United Kingdom,overview,2021-05-10,34.3
K02000001,United Kingdom,overview,2021-05-09,33.9
K02000001,United Kingdom,overview,2021-05-08,33.5
K02000001,United Kingdom,overview,2021-05-07,32.7
K02000001,United Kingdom,overview,2021-05-06,31.8
K02000001,United Kingdom,overview,2021-05-05,30.9
K02000001,United Kingdom,overview,2021-05-04,30.2
K02000001,United Kingdom,overview,2021-05-03,29.7
K02000001,United Kingdom,overview,2021-05-02,29.4
K02000001,United Kingdom,overview,2021-05-01,29.1
K02000001,United Kingdom,overview,2021-04-30,28.4
K02000001,United Kingdom,overview,2021-04-29,27.6
K02000001,United Kingdom,overview,2021-04-28,26.7
K02000001,United Kingdom,overview,2021-04-27,25.8
K02000001,United Kingdom,overview,2021-04-26,25.1
K02000001,United Kingdom,overview,2021-04-25,24.5
K02000001,United Kingdom,overview,2021-04-24,24.0
K02000001,United Kingdom,overview,2021-04-23,23.0
K02000001,United Kingdom,overview,2021-04-22,22.1
K02000001,United Kingdom,overview,2021-04-21,21.2
K02000001,United Kingdom,overview,2021-04-20,20.5
K02000001,United Kingdom,overview,2021-04-19,19.8
K02000001,United Kingdom,overview,2021-04-18,19.3
K02000001,United Kingdom,overview,2021-04-17,18.9
K02000001,United Kingdom,overview,2021-04-16,17.9
K02000001,United Kingdom,overview,2021-04-15,17.0
K02000001,United Kingdom,overview,2021-04-14,16.2
K02000001,United Kingdom,overview,2021-04-13,15.5
K02000001,United Kingdom,overview,2021-04-12,14.9
K02000001,United Kingdom,overview,2021-04-11,14.5
K02000001,United Kingdom,overview,2021-04-10,14.2
K02000001,United Kingdom,overview,2021-04-09,13.3
K02000001,United Kingdom,overview,2021-04-08,12.4
K02000001,United Kingdom,overview,2021-04-07,11.6
K02000001,United Kingdom,overview,2021-04-06,10.8
K02000001,United Kingdom,overview,2021-04-05,10.4
K02000001,United Kingdom,overview,2021-04-04,10.3
K02000001,United Kingdom,overview,2021-04-03,10.2
K02000001,United Kingdom,overview,2021-04-02,9.9
K02000001,United Kingdom,overview,2021-04-01,9.4
K02000001,United Kingdom,overview,2021-03-31,8.6
K02000001,United Kingdom,overview,2021-03-30,7.8
K02000001,United Kingdom,overview,2021-03-29,7.3
K02000001,United Kingdom,overview,2021-03-28,7.0
K02000001,United Kingdom,overview,2021-03-27,6.7
K02000001,United Kingdom,overview,2021-03-26,6.3
K02000001,United Kingdom,overview,2021-03-25,5.7
K02000001,United Kingdom,overview,2021-03-24,5.3
K02000001,United Kingdom,overview,2021-03-23,4.8
K02000001,United Kingdom,overview,2021-03-22,4.5
K02000001,United Kingdom,overview,2021-03-21,4.3
K02000001,United Kingdom,overview,2021-03-20,4.2
K02000001,United Kingdom,overview,2021-03-19,4.1
K02000001,United Kingdom,overview,2021-03-18,3.8
K02000001,United Kingdom,overview,2021-03-17,3.6
K02000001,United Kingdom,overview,2021-03-16,3.3
K02000001,United Kingdom,overview,2021-03-15,3.2
K02000001,United Kingdom,overview,2021-03-14,3.1
K02000001,United Kingdom,overview,2021-03-13,3.0
K02000001,United Kingdom,overview,2021-03-12,2.9
K02000001,United Kingdom,overview,2021-03-11,2.7
K02000001,United Kingdom,overview,2021-03-10,2.6
K02000001,United Kingdom,overview,2021-03-09,2.4
K02000001,United Kingdom,overview,2021-03-08,2.2
K02000001,United Kingdom,overview,2021-03-07,2.2
K02000001,United Kingdom,overview,2021-03-06,2.1
K02000001,United Kingdom,overview,2021-03-05,2.1
K02000001,United Kingdom,overview,2021-03-04,2.0
K02000001,United Kingdom,overview,2021-03-03,1.8
K02000001,United Kingdom,overview,2021-03-02,1.7
K02000001,United Kingdom,overview,2021-03-01,1.6
K02000001,United Kingdom,overview,2021-02-28,1.5
K02000001,United Kingdom,overview,2021-02-27,1.5
K02000001,United Kingdom,overview,2021-02-26,1.5
K02000001,United Kingdom,overview,2021-02-25,1.4
K02000001,United Kingdom,overview,2021-02-24,1.3
K02000001,United Kingdom,overview,2021-02-23,1.3
K02000001,United Kingdom,overview,2021-02-22,1.2
K02000001,United Kingdom,overview,2021-02-21,1.2
K02000001,United Kingdom,overview,2021-02-20,1.2
K02000001,United Kingdom,overview,2021-02-19,1.1
K02000001,United Kingdom,overview,2021-02-18,1.1
K02000001,United Kingdom,overview,2021-02-17,1.1
K02000001,United Kingdom,overview,2021-02-16,1.1
K02000001,United Kingdom,overview,2021-02-15,1.0
K02000001,United Kingdom,overview,2021-02-14,1.0
K02000001,United Kingdom,overview,2021-02-13,1.0
K02000001,United Kingdom,overview,2021-02-12,1.0
K02000001,United Kingdom,overview,2021-02-11,1.0
K02000001,United Kingdom,overview,2021-02-10,1.0
K02000001,United Kingdom,overview,2021-02-09,1.0
K02000001,United Kingdom,overview,2021-02-08,1.0
K02000001,United Kingdom,overview,2021-02-07,1.0
K02000001,United Kingdom,overview,2021-02-06,1.0
K02000001,United Kingdom,overview,2021-02-05,1.0
K02000001,United Kingdom,overview,2021-02-04,1.0
K02000001,United Kingdom,overview,2021-02-03,1.0
K02000001,United Kingdom,overview,2021-02-02,0.9
K02000001,United Kingdom,overview,2021-02-01,0.9
K02000001,United Kingdom,overview,2021-01-31,0.9
K02000001,United Kingdom,overview,2021-01-30,0.9
K02000001,United Kingdom,overview,2021-01-29,0.9
K02000001,United Kingdom,overview,2021-01-28,0.9
K02000001,United Kingdom,overview,2021-01-27,0.9
K02000001,United Kingdom,overview,2021-01-26,0.9
K02000001,United Kingdom,overview,2021-01-25,0.9
K02000001,United Kingdom,overview,2021-01-24,0.9
K02000001,United Kingdom,overview,2021-01-23,0.9
K02000001,United Kingdom,overview,2021-01-22,0.9
K02000001,United Kingdom,overview,2021-01-21,0.9
K02000001,United Kingdom,overview,2021-01-20,0.9
K02000001,United Kingdom,overview,2021-01-19,0.9
K02000001,United Kingdom,overview,2021-01-18,0.9
K02000001,United Kingdom,overview,2021-01-17,0.9
K02000001,United Kingdom,overview,2021-01-16,0.9
K02000001,United Kingdom,overview,2021-01-15,0.8
K02000001,United Kingdom,overview,2021-01-14,0.8
K02000001,United Kingdom,overview,2021-01-13,0.8
K02000001,United Kingdom,overview,2021-01-12,0.8
K02000001,United Kingdom,overview,2021-01-11,0.8
K02000001,United Kingdom,overview,2021-01-10,0.7
